n,p,n_events,n_iter,wall_pystat_s,wall_r_s,ratio_pystat_over_r
250,3,180,4,0.0013468330726027489,0.001200000000000001,1.122360893835623
500,3,334,3,0.002048166934400797,0.0016000000000000014,1.280104334000497
1000,3,672,3,0.00364604196511209,0.002200000000000002,1.657291802323676
2000,3,1357,3,0.007483709137886763,0.0038000000000000035,1.9693971415491462
4000,3,2628,3,0.014749791007488966,0.0064000000000000055,2.304654844920149
8000,3,5445,3,0.03193812514655292,0.012999999999999989,2.4567788574271496
