dataset,person_period_n,cols,expansion_s,fit_cpu_s,e2e_discrete_s,expansion_frac_of_e2e
flchain_5yr,19690,10,0.0159,0.02249695803038776,0.039136917097494006,0.4071
flchain_2_5yr,36018,13,0.0297,0.03734108293429017,0.06756337499246001,0.4399
flchain_yearly,82919,21,0.0692,0.12619849992915988,0.20472308387979865,0.3382
flchain_quarterly,319508,62,0.289,3.3122409998904914,3.628100084140897,0.0797
flchain_monthly,951967,172,1.007,58.398579833097756,60.231151917017996,0.0167
