dataset,n,cols,engine,device,precision,wall_median_s,peak_mem_mb,converged,error
flchain_5yr,19690,10,pystatistics:cpu,cpu,fp64,0.01428933348506689,11.1,True,
flchain_2_5yr,36018,13,pystatistics:cpu,cpu,fp64,0.028357972856611013,17.0,True,
flchain_yearly,82919,21,pystatistics:cpu,cpu,fp64,0.08541676215827465,64.8,True,
flchain_quarterly,319508,62,pystatistics:cpu,cpu,fp64,1.5696854065172374,615.2,True,
flchain_monthly,951967,172,pystatistics:cpu,cpu,fp64,37.95221023121849,5066.5,True,
synth_pp_n130000,130000,68,pystatistics:cpu,cpu,fp64,0.5223492668010294,,True,
synth_pp_n260000,260000,68,pystatistics:cpu,cpu,fp64,1.0739017445594072,,True,
synth_pp_n520000,520000,68,pystatistics:cpu,cpu,fp64,2.864461321849376,,True,
synth_pp_n1040000,1040000,68,pystatistics:cpu,cpu,fp64,7.250761649571359,,True,
synth_pp_n2080000,2080000,68,pystatistics:cpu,cpu,fp64,16.045902006328106,,True,
