procedure,dataset,n,n_events,wall_pystat_s,wall_r_s,speedup_vs_r
kaplan_meier,lung_km,228,165,0.00017616688273847103,0.0006000000000000005,3.405861480166689
survdiff,lung_km,228,,0.0005133338272571564,0.0008000000000000007,1.558440058927264
coxph,lung_coxph,227,164,0.00262804189696908,0.001200000000000001,0.45661372498815966
discrete_time,lung_discrete,227,164,0.0012141249608248472,0.0016000000000000014,1.3178215188929152
