dataset,n,cols,engine,device,precision,wall_median_s,peak_mem_mb,converged,error
flchain_5yr,19690,10,pystatistics:gpu,mps,fp32,0.01831570896320045,8.8,True,
flchain_2_5yr,36018,13,pystatistics:gpu,mps,fp32,0.0301709589548409,42.4,True,
flchain_yearly,82919,21,pystatistics:gpu,mps,fp32,0.12671445799060166,46.5,True,
flchain_quarterly,319508,62,pystatistics:gpu,mps,fp32,,,,"NumericalError: GPU GLM did not produce a reliable fit: the float32 inner solve broke down (XᵀWX not positive-definite in float32). This happens for ill-conditioned designs at large n in float32 — typically a log-link family (Poisson/Gamma) — where the float32 solve cannot locate the optimum (most often on Apple Silicon / MPS, which has no float64). PyStatistics does not silently substitute a CPU or lower-precision result; choose explicitly:
  - backend='cpu' for a correct double-precision fit (slower)
  - backend='gpu_fp64' on CUDA for an exact GPU fit
  - a ridge-penalized fit (a different, better-conditioned estimator)
  - force=True to return the float32 fit anyway (fast, but may be inaccurate / unstable)"
flchain_monthly,951967,172,pystatistics:gpu,mps,fp32,2.2462821670342237,2072.6,True,
synth_pp_n130000,130000,68,pystatistics:gpu,mps,fp32,0.18542850017547607,1154.1,True,
synth_pp_n260000,260000,68,pystatistics:gpu,mps,fp32,0.2827915840316564,1162.5,True,
synth_pp_n520000,520000,68,pystatistics:gpu,mps,fp32,,,,"NumericalError: GPU GLM did not produce a reliable fit: the float32 inner solve broke down (XᵀWX not positive-definite in float32). This happens for ill-conditioned designs at large n in float32 — typically a log-link family (Poisson/Gamma) — where the float32 solve cannot locate the optimum (most often on Apple Silicon / MPS, which has no float64). PyStatistics does not silently substitute a CPU or lower-precision result; choose explicitly:
  - backend='cpu' for a correct double-precision fit (slower)
  - backend='gpu_fp64' on CUDA for an exact GPU fit
  - a ridge-penalized fit (a different, better-conditioned estimator)
  - force=True to return the float32 fit anyway (fast, but may be inaccurate / unstable)"
synth_pp_n1040000,1040000,68,pystatistics:gpu,mps,fp32,,,,"NumericalError: GPU GLM did not produce a reliable fit: the float32 inner solve broke down (XᵀWX not positive-definite in float32). This happens for ill-conditioned designs at large n in float32 — typically a log-link family (Poisson/Gamma) — where the float32 solve cannot locate the optimum (most often on Apple Silicon / MPS, which has no float64). PyStatistics does not silently substitute a CPU or lower-precision result; choose explicitly:
  - backend='cpu' for a correct double-precision fit (slower)
  - backend='gpu_fp64' on CUDA for an exact GPU fit
  - a ridge-penalized fit (a different, better-conditioned estimator)
  - force=True to return the float32 fit anyway (fast, but may be inaccurate / unstable)"
synth_pp_n2080000,2080000,68,pystatistics:gpu,mps,fp32,1.9251501250546426,2001.3,True,
