study,n,M,device,cpu_s,gpu_fp32_s,gpu_fp32_speedup_vs_cpu
speed,5000,500,mps,0.26211233297362924,0.9581496249884367,0.2735609618140721
speed,20000,1000,mps,2.197707291925326,2.98843999998644,0.7354028496256569
