study,device,n,M,cpu_s,gpu_fp32_s,gpu_fp64_s,gpu_fp32_speedup_vs_cpu,gpu_fp64_speedup_vs_cpu,gpu_fp32_dh2_vs_cpu,gpu_fp64_dh2_vs_cpu
speed,cuda,5000,500,0.26057652197778225,0.03945490997284651,0.22142290882766247,6.604413041548318,1.1768272910758018,0.00021189661154145516,5.625137803525817e-08
speed,cuda,20000,1000,3.459173956885934,0.23552620317786932,2.171975119970739,14.68700259339538,1.5926397706307687,0.00017416733736040242,1.8149128821606868e-08
