dataset,n,cols,engine,device,precision,wall_median_s,peak_mem_mb,converged,error
flchain_5yr,19690,10,pystatistics:cpu,cpu,fp64,0.015617500059306622,24.5,True,
flchain_2_5yr,36018,13,pystatistics:cpu,cpu,fp64,0.032210374949499965,26.2,True,
flchain_yearly,82919,21,pystatistics:cpu,cpu,fp64,0.11587427055928856,90.9,True,
flchain_quarterly,319508,62,pystatistics:cpu,cpu,fp64,3.2682596665108576,1003.4,True,
flchain_monthly,951967,172,pystatistics:cpu,cpu,fp64,64.97326862439513,5659.2,True,
synth_pp_n130000,130000,68,pystatistics:cpu,cpu,fp64,1.2019215830368921,,True,
synth_pp_n260000,260000,68,pystatistics:cpu,cpu,fp64,2.7026584785198793,,True,
synth_pp_n520000,520000,68,pystatistics:cpu,cpu,fp64,5.5823219794547185,,True,
synth_pp_n1040000,1040000,68,pystatistics:cpu,cpu,fp64,11.839352166512981,,True,
synth_pp_n2080000,2080000,68,pystatistics:cpu,cpu,fp64,21.69055093708448,2649.1,True,
