dataset,person_period_n,cols,expansion_s,fit_cpu_s,e2e_discrete_s,expansion_frac_of_e2e
flchain_5yr,19690,10,0.016,0.023073875112459064,0.039017500123009086,0.4108
flchain_2_5yr,36018,13,0.0314,0.0420692078769207,0.07078149984590709,0.4438
flchain_yearly,82919,21,0.0709,0.12309329211711884,0.18789416691288352,0.3776
flchain_quarterly,319508,62,0.2891,3.332642999943346,3.5884442920796573,0.0806
flchain_monthly,951967,172,1.0154,60.37089250003919,61.79115508310497,0.0164
