dataset,n,cols,engine,device,precision,wall_median_s,peak_mem_mb,converged,error
flchain_5yr,19690,10,pystatistics:gpu,cuda,fp32,0.004988321103155613,11.4,True,
flchain_2_5yr,36018,13,pystatistics:gpu,cuda,fp32,0.00924011692404747,15.0,True,
flchain_yearly,82919,21,pystatistics:gpu,cuda,fp32,0.024156690575182438,31.4,True,
flchain_quarterly,319508,62,pystatistics:gpu,cuda,fp32,0.28104202821850777,255.3,True,
flchain_monthly,951967,172,pystatistics:gpu,cuda,fp32,2.0800373628735542,1997.5,True,
synth_pp_n130000,130000,68,pystatistics:gpu,cuda,fp32,0.10324256401509047,117.8,True,
synth_pp_n260000,260000,68,pystatistics:gpu,cuda,fp32,0.208752254024148,227.0,True,
synth_pp_n520000,520000,68,pystatistics:gpu,cuda,fp32,0.4244336187839508,445.4,True,
synth_pp_n1040000,1040000,68,pystatistics:gpu,cuda,fp32,0.8665043860673904,882.3,True,
synth_pp_n2080000,2080000,68,pystatistics:gpu,cuda,fp32,1.764922583475709,1755.8,True,
