procedure,dataset,n,n_events,wall_pystat_s,wall_r_s,speedup_vs_r
kaplan_meier,lung_km,228,165,0.00017541693523526192,0.0008000000000000007,4.560563088889188
survdiff,lung_km,228,,0.000547667033970356,0.0010000000000000009,1.8259269555635307
coxph,lung_coxph,227,164,0.0034628750290721655,0.001200000000000001,0.3465328635672787
discrete_time,lung_discrete,227,164,0.0013772500678896904,0.001200000000000001,0.8713014636758862
