n,p,n_events,n_iter,wall_pystat_s,wall_r_s,ratio_pystat_over_r
250,3,180,4,0.0013112497981637716,0.001200000000000001,1.0927081651364754
500,3,334,3,0.0019520421046763659,0.0016000000000000014,1.2200263154227275
1000,3,672,3,0.004145957995206118,0.002200000000000002,1.8845263614573247
2000,3,1357,3,0.008700459031388164,0.0040000000000000036,2.175114757847039
4000,3,2628,3,0.018703832989558578,0.006799999999999984,2.7505636749350915
8000,3,5445,3,0.036258541978895664,0.012999999999999989,2.7891186137612074
