dataset,n,cols,engine,device,precision,wall_median_s,peak_mem_mb,converged,error
flchain_5yr,19690,10,pystatistics:gpu,cuda_fp64,fp64,0.029105201363563538,14.2,True,
flchain_2_5yr,36018,13,pystatistics:gpu,cuda_fp64,fp64,0.009100866504013538,21.5,True,
flchain_yearly,82919,21,pystatistics:gpu,cuda_fp64,fp64,0.023381514474749565,55.8,True,
flchain_quarterly,319508,62,pystatistics:gpu,cuda_fp64,fp64,0.7192778633907437,502.7,True,
flchain_monthly,951967,172,pystatistics:gpu,cuda_fp64,fp64,4.009710463695228,3986.9,True,
synth_pp_n130000,130000,68,pystatistics:gpu,cuda_fp64,fp64,0.2353633288294077,227.0,True,
synth_pp_n260000,260000,68,pystatistics:gpu,cuda_fp64,fp64,0.4686150597408414,446.4,True,
synth_pp_n520000,520000,68,pystatistics:gpu,cuda_fp64,fp64,0.9359494661912322,883.2,True,
synth_pp_n1040000,1040000,68,pystatistics:gpu,cuda_fp64,fp64,1.8937357030808926,1756.8,True,
synth_pp_n2080000,2080000,68,pystatistics:gpu,cuda_fp64,fp64,3.8417357858270407,3503.0,True,
