procedure,dataset,n,n_events,wall_pystat_s,wall_r_s,speedup_vs_r
coxph_strata_efron,flchain,7874,,0.01624879101291299,0.01339999999999999,0.8246767399095076
coxph_strata_breslow,flchain,7874,,0.014330333098769188,0.01399999999999999,0.9769486796648453
km_strata,flchain,7874,,0.0025837919674813747,0.003400000000000003,1.3158954137140733
cox_start_stop,synth_tvc,191,,0.0009366669692099094,0.001200000000000001,1.2811383762280166
cox_cluster_robust,synth_cluster,150,,0.0010478752665221691,0.0016000000000000014,1.5268992895598146
