n,p,n_events,n_iter,wall_pystat_s,wall_r_s,ratio_pystat_over_r
250,3,180,4,0.00100416736677289,0.001200000000000001,0.8368061389774077
500,3,334,3,0.0011539999395608902,0.0016000000000000014,0.7212499622255557
1000,3,672,3,0.0019149580039083958,0.002200000000000002,0.8704354563219974
2000,3,1357,3,0.003452917095273733,0.0038000000000000035,0.9086623934930869
4000,3,2628,3,0.006757333874702454,0.006799999999999984,0.9937255698091867
8000,3,5445,3,0.013993165921419859,0.01259999999999999,1.110568723922212
