dataset,n,cols,engine,device,precision,wall_median_s,peak_mem_mb,converged,error
flchain_5yr,19690,10,pystatistics:gpu,cuda_fp64,fp64,0.005522808060050011,39.2,True,
flchain_2_5yr,36018,13,pystatistics:gpu,cuda_fp64,fp64,0.008838199079036713,46.5,True,
flchain_yearly,82919,21,pystatistics:gpu,cuda_fp64,fp64,0.022492850199341774,80.8,True,
flchain_quarterly,319508,62,pystatistics:gpu,cuda_fp64,fp64,0.15504490211606026,527.1,True,
flchain_monthly,951967,172,pystatistics:gpu,cuda_fp64,fp64,2.720589019358158,4011.9,True,
synth_pp_n130000,130000,68,pystatistics:gpu,cuda_fp64,fp64,0.08566694427281618,252.0,True,
synth_pp_n260000,260000,68,pystatistics:gpu,cuda_fp64,fp64,0.16518179327249527,470.6,True,
synth_pp_n520000,520000,68,pystatistics:gpu,cuda_fp64,fp64,0.3308737827464938,907.2,True,
synth_pp_n1040000,1040000,68,pystatistics:gpu,cuda_fp64,fp64,0.6770577458664775,1780.8,True,
synth_pp_n2080000,2080000,68,pystatistics:gpu,cuda_fp64,fp64,1.407191258855164,3528.0,True,
