dataset,n,cols,engine,device,precision,wall_median_s,peak_mem_mb,converged,error
flchain_5yr,19690,10,pystatistics:gpu,mps,fp32,0.06412820797413588,8.8,True,
flchain_2_5yr,36018,13,pystatistics:gpu,mps,fp32,0.10168320825323462,42.4,True,
flchain_yearly,82919,21,pystatistics:gpu,mps,fp32,0.18386050034314394,42.3,True,
flchain_quarterly,319508,62,pystatistics:gpu,mps,fp32,0.8470942080020905,1082.5,True,
flchain_monthly,951967,172,pystatistics:gpu,mps,fp32,7.538744749967009,698.7,True,
synth_pp_n130000,130000,68,pystatistics:gpu,mps,fp32,0.25516912480816245,1082.5,True,
synth_pp_n260000,260000,68,pystatistics:gpu,mps,fp32,0.384767958894372,1090.9,True,
synth_pp_n520000,520000,68,pystatistics:gpu,mps,fp32,0.6276092911139131,1082.5,True,
synth_pp_n1040000,1040000,68,pystatistics:gpu,mps,fp32,1.105681334156543,1082.5,True,
synth_pp_n2080000,2080000,68,pystatistics:gpu,mps,fp32,2.109149207826704,642.1,True,
