mechanism,severity,eq_cond,gpu_status,coef_rel_gpu_vs_cpu,se_rel_gpu_vs_cpu,cpu_se_max,gpu_se_max,inference_verdict
low_hazard,4.0,1.1111465122955997,accepted,5.640076063822337e-07,7.807336163067156e-07,0.045456884316590056,0.04545684882687238,inference-warned
low_hazard,6.0,1.0960453364137939,accepted,3.1791015571642026e-06,7.302318919080462e-07,0.04823434651438247,0.04823431129212436,inference-warned
low_hazard,8.0,1.0877975873581998,accepted,3.765342592553993e-05,7.72947236274048e-07,0.048062880906363965,0.048062843756293,inference-warned
low_hazard,10.0,1.0907463847277306,accepted,3.3178217605266086e-07,6.940690330227325e-07,0.0456168854488325,0.04561685378756493,inference-warned
low_hazard,12.0,1.088042381497346,accepted,2.5793211038252824e-07,8.350596311172871e-07,0.0480634137533983,0.04806337361758174,inference-warned
low_hazard,14.0,1.0977128359777748,accepted,3.551810747097924e-07,8.695511357785608e-07,0.04912573105925701,0.04912568834192177,inference-warned
near_separation,0.1,1.096539623076805,accepted,2.9236373332627036e-07,6.10890689479931e-07,0.08051358569626564,0.08051353651126576,inference-warned
near_separation,0.3,1.0873427298921174,accepted,4.174957745988089e-07,7.858488664472488e-07,0.07899843923908406,0.07899839132842633,inference-warned
near_separation,0.5,1.0829091219121139,accepted,1.9842610094361543e-06,9.034628153331622e-07,0.0781489616386119,0.07814890775370073,inference-warned
near_separation,0.7,1.0813285713118554,accepted,4.7494523063019157e-07,5.848903754671009e-07,0.0760000529675742,0.07600000851587468,inference-warned
near_separation,0.85,1.0956896022184808,accepted,7.2118037286243625e-06,8.92634251208916e-07,0.08423384676123252,0.0842337784381262,inference-warned
near_separation,0.95,1.0955441053193982,accepted,6.283504458535925e-07,1.1369580848064902e-06,0.07849197903968433,0.07849192857887809,inference-warned
large_coef,1.0,1.0992623763008464,accepted,3.1956614398894403e-07,1.718793646916495e-08,0.0729610895887187,0.07296108850409362,inference-warned
large_coef,3.0,1.0895270243791093,accepted,2.3895124137707245e-07,3.8086413201354882e-06,0.07352641567382806,0.07352669570957292,inference-warned
large_coef,6.0,1.0891042892217708,accepted,3.274619320442709e-07,2.381498628734508e-08,0.46302309824562793,0.4630230872187392,inference-warned
large_coef,10.0,1.0898045122065676,accepted,8.868679516388304e-08,3.5873231771722054e-05,0.14642362309853732,0.1464288757871056,inference-warned
large_coef,16.0,1.1028375284043752,accepted,3.9211023504643264e-07,4.174522554624269e-07,1.2894831467982586,1.2894826085006106,inference-warned
large_coef,24.0,1.0875447233013458,accepted,3.001062100178506e-07,7.373242728752615e-06,1.075238784498008,1.0752467124945575,inference-warned
conditioning,0.1,19.990011632509628,accepted,0.00023461383827186276,1.5196985169546497e-05,0.7524911825043632,0.752500168754433,inference-warned
conditioning,0.01,202.37285337131945,accepted,0.00023790178099830937,1.126178818650718e-06,7.807617335799309,7.807608543026041,inference-warned
conditioning,0.001,2000.593886580125,accepted,0.0001798094230129205,4.363580452880033e-07,76.53422590021438,76.53421841903858,inference-warned
conditioning,0.0001,20138.943994033936,accepted,0.007452897844862495,2.0782128904849958e-05,828.5676212652066,828.5504034195372,inference-warned
conditioning,1e-05,201633.12465543678,refused,,,8971.728572140873,,refused (fail-loud)
conditioning,1e-06,2028268.9968811113,refused,,,80477.77646026928,,refused (fail-loud)
flchain_quarterly,0.0,3.563042786949614,accepted,4.0299186127720666e-05,2.6728208537311256e-06,0.2550942251675362,0.2550949069887009,inference-warned
