procedure,dataset,n,n_events,wall_pystat_s,wall_r_s,speedup_vs_r
kaplan_meier,lung_km,228,165,0.0001854579895734787,0.0005714285714285719,3.08117527178397
survdiff,lung_km,228,,0.0005415421910583973,0.0005714285714285719,1.0551875382262723
coxph,lung_coxph,227,164,0.0009991656988859177,0.0011428571428571438,1.1438114260041592
discrete_time,lung_discrete,227,164,0.0012788339518010616,0.0011428571428571438,0.893671255167715
