complexity,G,group_size,n,p,pystat_s,r_lmer_s,speedup_vs_r
intercept,10,8,80,2,0.002033042022958398,0.016,7.869979970565226
intercept,25,8,200,2,0.0020509997848421335,0.013,6.338372191004699
intercept,50,8,400,2,0.002182041062042117,0.014,6.4160112490723495
intercept,100,8,800,2,0.002681832993403077,0.016,5.966068744533197
intercept,200,8,1600,2,0.0039273330476135015,0.019,4.837888656157036
intercept,400,8,3200,2,0.006156957941129804,0.028,4.54770038511291
intercept,800,8,6400,2,0.010828249854966998,0.0479999999999999,4.43284931941074
intercept,2000,8,16000,2,0.023290874902158976,0.096,4.121785909858679
intercept+slope,10,8,80,2,0.008615958038717508,0.017,1.97308296112947
intercept+slope,25,8,200,2,0.011272541945800185,0.018,1.596800445413846
intercept+slope,50,8,400,2,0.015867375070229173,0.0209999999999999,1.323470322410208
intercept+slope,100,8,800,2,0.02630691695958376,0.026,0.988333222017035
intercept+slope,200,8,1600,2,0.045895125018432736,0.038,0.8279746483910472
intercept+slope,400,8,3200,2,0.08453745814040303,0.0569999999999999,0.6742573204097541
intercept+slope,800,8,6400,2,0.15758312493562698,0.102,0.647277429240391
intercept+slope,2000,8,16000,2,0.39955008309334517,0.208,0.5205855506014395
