analysis,dataset,n_factors,n,p,uniq_max_abs,loadings_max_abs,objective_rel,chi_sq_rel,py_converged,r_warning
factor_analysis,iris,1,150,4,1.485743824081176e-06,1.1553625056670569e-08,8.331232145453221e-13,8.329470698668027e-13,True,
factor_analysis,synth2f,2,400,8,2.4848087706696997e-05,9.771738199826352e-06,3.229467558804473e-08,3.229467560047315e-08,True,
factor_analysis,synth3f,3,500,9,1.201760173291655e-05,6.125945790080856e-06,1.2569194858485814e-08,1.25691948851612e-08,True,
