study,n,p,k,wall_cpu_s,wall_mps_s,mps_speedup_vs_cpu
value,5000,100,10,0.017768291989341378,0.013600166887044907,1.3064760261336865
value,100000,100,10,0.3337822922039777,0.0976572500076145,3.417895672650542
value,500000,200,10,3.710928917163983,0.40098495897836983,9.254533952142978
value,2000,5000,10,2.1150254998356104,0.06718583405017853,31.480229868933066
