model_key,family,eq_cond,gpu_status,coef_rel_gpu_vs_cpu,se_rel_gpu_vs_cpu,se_rel_gpu_vs_r,cpu_se_max,gpu_se_max,r_se_max,inference_verdict
ols,gaussian,20.2915035919799,accepted,2.9306029788132766e-05,5.42256294120275e-09,5.422562687564921e-09,0.047402032898789054,0.04740203264174855,0.047402032898789026,inference-warned
ols,gaussian,202.11974180102354,accepted,0.002668118061438151,2.732434771962193e-08,2.7324347836824343e-08,0.47363488838511714,0.4736349013268815,0.4736348883851171,inference-warned
ols,gaussian,1996.8777977167258,accepted,0.17095377239416207,7.874601248632992e-07,7.874601235872188e-07,4.739721496637411,4.739725227449543,4.739721496637394,inference-warned
ols,gaussian,6734.151239652639,refused,,,,15.928231360839412,,15.928231360838419,refused (fail-loud)
ols,gaussian,19776.81688576133,accepted,0.94387870114171,0.0003702751461525445,0.0003702751461562268,47.189389279388244,47.206861102998914,47.189389279388216,inference-warned
ols,gaussian,67242.96420792956,accepted,0.9853730530118043,0.00010239219302586105,0.00010239219301485742,158.15138480757582,158.16755817117993,158.15138480756053,inference-warned
ols,gaussian,201828.00584896028,refused,,,,472.32387573101227,,472.3238757305998,refused (fail-loud)
glm_poisson,poisson,20.960906687061264,accepted,8.938177945393407e-06,2.39888904369258e-07,1.9189614402499478e-07,0.12550431134943613,0.12550433539638992,0.12550431603487458,inference-warned
glm_poisson,poisson,200.72607027235324,accepted,3.372499067806086e-05,4.4512959175351555e-07,3.8743136050089953e-07,1.2156739713198135,1.2156743924257838,1.215674024884471,inference-warned
glm_poisson,poisson,2006.3917236077518,accepted,0.007051435982348116,8.176337756575873e-07,7.775425315848175e-07,12.298538487680089,12.298548527348954,12.298538980738684,inference-warned
glm_poisson,poisson,6576.603701683407,accepted,0.005564045564005097,2.207232214661137e-06,2.257804847352806e-06,40.170383989528,40.17042887940298,40.170385474679236,inference-warned
glm_poisson,poisson,20183.86586558469,accepted,0.004739446098998065,1.1815491159920854e-06,1.1352691685923015e-06,123.36787531365684,123.36802106851242,123.36788102311273,inference-warned
glm_poisson,poisson,67142.30055061058,accepted,0.025442646440286147,1.3520535329202826e-05,1.3467527131579538e-05,407.6942357447367,407.6925715460022,407.69425200868005,inference-warned
glm_poisson,poisson,199056.04347574685,refused,,,,1224.3994029143337,,1224.3994633841771,refused (fail-loud)
glm_gamma,gamma,19.83203969156023,accepted,7.234395576887711e-07,2.0465710422702463e-14,0.037878605868127226,0.11732282885916984,0.11732282885917185,0.11304099361508496,inference-warned
glm_gamma,gamma,205.0235348249672,accepted,2.595865812091694e-05,4.382687577644754e-11,0.034613116546524825,1.1762693731459146,1.1762693731974645,1.1369171281375028,inference-warned
glm_gamma,gamma,2023.3271779994366,accepted,0.00023241340718413236,1.925195260721695e-09,0.04160112561804848,11.732208852419221,11.732208875006014,11.26362922087334,inference-warned
glm_gamma,gamma,6746.003198358312,accepted,0.01822293315686028,3.349865540946819e-08,0.049500692559533016,39.018560106052504,39.0185614131217,37.17821406859953,inference-warned
glm_gamma,gamma,19920.601842127846,accepted,0.07888482671530096,1.2222723924174018e-07,0.043436975022376485,115.72056101638991,115.72056089907068,110.90327248381818,inference-warned
glm_gamma,gamma,66991.22412271769,accepted,0.009510027677272763,9.895081069822687e-07,0.05821598454262926,386.14328225695965,386.1436643488679,364.90061574316775,inference-warned
glm_gamma,gamma,195846.71286318902,refused,,,,1145.4641416154363,,1083.1351107996693,refused (fail-loud)
