model_key,family,n,p,reps,wall_pystat_s,wall_r_s,speedup_vs_r,pystat_lags_r
ols,gaussian,50,8,300,7.706251926720142e-05,0.00039,5.06082598529825,False
ols,gaussian,200,8,300,8.88751819729805e-05,0.0004066666666667,4.5757055866319725,False
ols,gaussian,1000,8,100,0.00016539613716304302,0.0006,3.6276542505254294,False
ols,gaussian,10000,8,30,0.0011095209047198296,0.002166666666667,1.9527948121122742,False
ols,gaussian,100000,8,8,0.011733541497960687,0.022,1.874966735646151,False
ols,gaussian,500000,8,4,0.05845418758690357,0.08525,1.4584070623385061,False
glm_binomial,binomial,50,8,300,0.0003272085450589657,0.0005766666666667,1.7623826619894047,False
glm_binomial,binomial,200,8,300,0.0003868131898343563,0.0007433333333333,1.921685591051368,False
glm_binomial,binomial,1000,8,100,0.0007996251806616783,0.00158,1.9759257689866305,False
glm_binomial,binomial,10000,8,30,0.006459624273702502,0.0104,1.6100007615518739,False
glm_binomial,binomial,100000,8,8,0.0585490835364908,0.10975,1.8744956089978446,False
glm_binomial,binomial,500000,8,4,0.2955651874653995,0.50125,1.6959033785353326,False
glm_poisson,poisson,50,8,300,0.0003370000049471855,0.00069,2.0474777147499936,False
glm_poisson,poisson,200,8,300,0.0003618542104959488,0.0008766666666667,2.4227068284355777,False
glm_poisson,poisson,1000,8,100,0.0008230835665017366,0.00192,2.3326914521697586,False
glm_poisson,poisson,10000,8,30,0.007688291370868683,0.01243333333333,1.6171776970420915,False
glm_poisson,poisson,100000,8,8,0.06539641669951379,0.12575,1.9228882306778579,False
glm_poisson,poisson,500000,8,4,0.32078822911717,0.6115,1.9062420141876393,False
glm_gamma,gamma,50,8,300,0.00048068747855722904,0.0008633333333333,1.7960387400241264,False
glm_gamma,gamma,200,8,300,0.00044995849020779133,0.001073333333333,2.3854052244626684,False
glm_gamma,gamma,1000,8,100,0.0009273751638829708,0.00236,2.5448169111177728,False
glm_gamma,gamma,10000,8,30,0.008040166459977627,0.0136,1.6915072676291136,False
glm_gamma,gamma,100000,8,8,0.06437579169869423,0.1535,2.384436695061469,False
glm_gamma,gamma,500000,8,4,0.3127777287736535,0.7185,2.2971584416099966,False
glm_negbin,negative-binomial,50,8,300,0.0010814373381435871,0.001386666666667,1.2822441187830398,False
glm_negbin,negative-binomial,200,8,300,0.002774520544335246,0.0055,1.9823244816944607,False
glm_negbin,negative-binomial,1000,8,100,0.00835910439491272,0.01667,1.9942327805051965,False
glm_negbin,negative-binomial,10000,8,30,0.04843385424464941,0.1337,2.7604658370703614,False
