model_key,n,p,engine,device,wall_median_s,peak_mem_mb,n_iter,error
ols,1000,8,pystatistics:cpu,cpu,0.00018699979409575462,0.0,,
ols,1000,32,pystatistics:cpu,cpu,0.0006187502294778824,0.0,,
ols,1000,128,pystatistics:cpu,cpu,0.002863457892090082,2.7,,
ols,10000,8,pystatistics:cpu,cpu,0.001539500430226326,0.0,,
ols,10000,32,pystatistics:cpu,cpu,0.008461750112473965,8.0,,
ols,10000,128,pystatistics:cpu,cpu,0.024510500021278858,0.7,,
ols,100000,8,pystatistics:cpu,cpu,0.012837582733482122,32.9,,
ols,100000,32,pystatistics:cpu,cpu,0.08742320910096169,4.0,,
ols,100000,128,pystatistics:cpu,cpu,0.3250182499177754,1.6,,
ols,500000,8,pystatistics:cpu,cpu,0.06443866668269038,,,
ols,500000,32,pystatistics:cpu,cpu,0.4130988330580294,16.1,,
ols,500000,128,pystatistics:cpu,cpu,1.8221972920000553,12.1,,
glm_binomial,1000,8,pystatistics:cpu,cpu,0.001518667209893465,0.0,4,
glm_binomial,1000,32,pystatistics:cpu,cpu,0.004100624937564135,0.7,4,
glm_binomial,1000,128,pystatistics:cpu,cpu,0.012188791763037443,3.1,4,
glm_binomial,10000,8,pystatistics:cpu,cpu,0.007999999914318323,0.0,4,
glm_binomial,10000,32,pystatistics:cpu,cpu,0.033744082786142826,0.0,4,
glm_binomial,10000,128,pystatistics:cpu,cpu,0.10600416641682386,0.9,4,
glm_binomial,100000,8,pystatistics:cpu,cpu,0.06366937514394522,32.1,4,
glm_binomial,100000,32,pystatistics:cpu,cpu,0.29187225038185716,0.0,4,
glm_binomial,100000,128,pystatistics:cpu,cpu,1.0689951670356095,1.1,4,
glm_binomial,500000,8,pystatistics:cpu,cpu,0.3680739589035511,36.2,4,
glm_binomial,500000,32,pystatistics:cpu,cpu,1.7196386251598597,12.1,4,
glm_binomial,500000,128,pystatistics:cpu,cpu,6.006840416230261,4.0,4,
glm_poisson,1000,8,pystatistics:cpu,cpu,0.0028055827133357525,,5,
glm_poisson,1000,32,pystatistics:cpu,cpu,0.006581833120435476,0.0,5,
glm_poisson,1000,128,pystatistics:cpu,cpu,0.019537375308573246,0.0,5,
glm_poisson,10000,8,pystatistics:cpu,cpu,0.010672292206436396,0.0,5,
glm_poisson,10000,32,pystatistics:cpu,cpu,0.04342591669410467,,5,
glm_poisson,10000,128,pystatistics:cpu,cpu,0.15464287484064698,0.0,5,
glm_poisson,100000,8,pystatistics:cpu,cpu,0.09017649991437793,16.0,5,
glm_poisson,100000,32,pystatistics:cpu,cpu,0.3865168751217425,,5,
glm_poisson,100000,128,pystatistics:cpu,cpu,1.497412542346865,1.6,5,
glm_poisson,500000,8,pystatistics:cpu,cpu,0.41876408318057656,12.6,5,
glm_poisson,500000,32,pystatistics:cpu,cpu,2.7456556670367718,0.0,5,
glm_poisson,500000,128,pystatistics:cpu,cpu,9.964631374925375,16.1,5,
glm_gamma,1000,8,pystatistics:cpu,cpu,0.0020347093231976032,0.0,6,
glm_gamma,1000,32,pystatistics:cpu,cpu,0.005762416869401932,0.0,7,
glm_gamma,1000,128,pystatistics:cpu,cpu,0.04116012481972575,0.0,14,
glm_gamma,10000,8,pystatistics:cpu,cpu,0.009817624930292368,0.0,5,
glm_gamma,10000,32,pystatistics:cpu,cpu,0.04677183274179697,0.0,5,
glm_gamma,10000,128,pystatistics:cpu,cpu,0.16646079206839204,0.0,6,
glm_gamma,100000,8,pystatistics:cpu,cpu,0.07888100016862154,0.0,5,
glm_gamma,100000,32,pystatistics:cpu,cpu,0.425820583011955,,5,
glm_gamma,100000,128,pystatistics:cpu,cpu,1.5433247089385986,,5,
glm_gamma,500000,8,pystatistics:cpu,cpu,0.3414807920344174,44.2,5,
glm_gamma,500000,32,pystatistics:cpu,cpu,1.8616696251556277,0.1,5,
glm_gamma,500000,128,pystatistics:cpu,cpu,9.486645417287946,4.0,5,
