model_key,family,slope_pystat,slope_r,n_points_for_slope
ols,gaussian,0.9509894086159104,0.8177521138322144,4
glm_binomial,binomial,0.9506135336000194,0.9362177098796132,4
glm_poisson,poisson,0.9561211753540129,0.9339325200999319,4
glm_gamma,gamma,0.9321115245882606,0.932692507995269,4
glm_negbin,negative-binomial,0.7629892814195669,0.9041958074339789,2
