func,n,py_ms,r_ms,ratio_py_over_r,py_slope,r_slope
acf,200,0.0591,0.1,0.591,0.17877595545181205,0.5134725723415543
acf,500,0.0513,0.1,0.513,0.17877595545181205,0.5134725723415543
acf,1000,0.0685,0.3,0.228,0.17877595545181205,0.5134725723415543
acf,2000,0.0693,0.4,0.173,0.17877595545181205,0.5134725723415543
acf,5000,0.078,0.4,0.195,0.17877595545181205,0.5134725723415543
acf,10000,0.0915,0.7,0.131,0.17877595545181205,0.5134725723415543
acf,20000,0.1406,1.0,0.141,0.17877595545181205,0.5134725723415543
arima,200,2.0683,1.7,1.217,0.17879761184987292,0.5255212616761696
arima,500,2.039,2.0,1.019,0.17879761184987292,0.5255212616761696
arima,1000,1.9333,2.7,0.716,0.17879761184987292,0.5255212616761696
arima,2000,3.2884,5.3,0.62,0.17879761184987292,0.5255212616761696
arima,5000,3.3306,8.3,0.401,0.17879761184987292,0.5255212616761696
ets,200,0.7471,1.0,0.747,0.38634988298314427,0.6105677248891317
ets,500,0.8811,1.0,0.881,0.38634988298314427,0.6105677248891317
ets,1000,1.072,1.7,0.631,0.38634988298314427,0.6105677248891317
ets,2000,1.4917,2.7,0.552,0.38634988298314427,0.6105677248891317
ets,5000,2.6012,6.7,0.388,0.38634988298314427,0.6105677248891317
stl,240,0.0633,0.7,0.09,0.8513976956312693,0.3950950066969879
stl,480,0.1093,0.7,0.156,0.8513976956312693,0.3950950066969879
stl,960,0.1967,1.0,0.197,0.8513976956312693,0.3950950066969879
stl,2400,0.436,1.3,0.335,0.8513976956312693,0.3950950066969879
stl,4800,0.8041,2.3,0.35,0.8513976956312693,0.3950950066969879
