case,spec,hard_case,coef_abs,loglik_abs,aic_abs,sigma2_py,sigma2_r,se_abs,pass
ar1_xreg2_d0,"[1, 0, 0]",,1.873295222099003e-05,6.037168986949837e-09,1.2074337973899674e-08,1.0522432067732301,1.052243265085506,4.144428375854603e-05,True
arma11_xreg1_d0,"[1, 0, 1]",,1.7254093395702164e-06,1.09253051050473e-10,2.18506102100946e-10,0.9338803264288271,0.9338803273707443,4.0606492701419916e-05,True
drift_011_d1,"[0, 1, 1]+drift",drift under d=1 (trend becomes differenced mean),2.2201849947389718e-07,5.893980130622367e-07,1.1787960261244734e-06,1.0118687069558348,1.011868715768073,9.23817896625323e-08,True
ar2_xreg1_d1,"[2, 1, 0]",xreg under differencing d=1,5.158665894455794e-07,4.3774025471066125e-07,8.754805094213225e-07,1.31266905340283,1.312669062266438,3.290615293462251e-05,True
fixed_ma1_zero,"[1, 0, 1]+fixed",all-but-one fixed (ma1 held at 0),1.1957815329255439e-05,2.522796194170951e-09,5.045592388341902e-09,0.986032653386774,0.9860326824922183,,True
fixed_ar2_nonzero,"[2, 0, 0]+fixed",fixed at a non-zero value,3.0124872141212844e-05,8.712476073924336e-09,1.742495214784867e-08,1.104484683789904,1.104484747431144,,True
collinear_xreg_d0,"[1, 0, 0]",near-collinear xreg,8.698943907781143e-05,8.203357992897509e-10,1.6406715985795017e-09,1.0383993270548455,1.038399294951025,4.145083079244716e-05,True
seasonal_xreg_d0,"[0, 0, 0][1, 0, 0, 4]",seasonal + xreg,1.96001336272289e-06,9.953282642527483e-11,1.9906565285054967e-10,0.9529234426197591,0.9529234479032368,3.741637480797477e-05,True
