func,n,p,K,py_ms,r_ms,ratio_py_over_r,py_slope,r_slope,pass
polr,500,4,4,4.4,5.0,0.88,0.88,0.99,True
polr,2000,4,4,9.41,17.0,0.554,0.88,0.99,True
polr,8000,4,4,41.17,71.0,0.58,0.88,0.99,True
polr,20000,4,4,108.12,193.0,0.56,0.88,0.99,True
multinom(n),500,4,3,1.36,2.0,0.681,0.79,1.0,True
multinom(n),2000,4,3,3.15,6.0,0.525,0.79,1.0,True
multinom(n),8000,4,3,11.64,30.0,0.388,0.79,1.0,True
multinom(n),20000,4,3,24.04,76.0,0.316,0.79,1.0,True
multinom(K),4000,5,3,6.44,17.0,0.379,1.08,1.61,True
multinom(K),4000,5,5,10.55,34.0,0.31,1.08,1.61,True
multinom(K),4000,5,8,18.92,73.0,0.259,1.08,1.61,True
multinom(K),4000,5,12,28.29,159.0,0.178,1.08,1.61,True
