func,n,py_ms,r_ms,ratio_py_over_r,py_slope,r_slope
acf,200,0.0582,0.4,0.145,0.19692371373876288,0.25981180151408445
acf,500,0.0554,0.4,0.138,0.19692371373876288,0.25981180151408445
acf,1000,0.0731,0.3,0.244,0.19692371373876288,0.25981180151408445
acf,2000,0.0796,0.3,0.265,0.19692371373876288,0.25981180151408445
acf,5000,0.0801,0.6,0.133,0.19692371373876288,0.25981180151408445
acf,10000,0.1082,1.0,0.108,0.19692371373876288,0.25981180151408445
acf,20000,0.15,1.1,0.136,0.19692371373876288,0.25981180151408445
arima,200,2.2484,2.3,0.978,0.19098108192477542,0.46175403593700226
arima,500,2.3301,3.0,0.777,0.19098108192477542,0.46175403593700226
arima,1000,2.4288,3.7,0.656,0.19098108192477542,0.46175403593700226
arima,2000,3.55,7.0,0.507,0.19098108192477542,0.46175403593700226
arima,5000,3.887,9.3,0.418,0.19098108192477542,0.46175403593700226
ets,200,0.8,1.0,0.8,0.40037443357760016,0.6400606962829364
ets,500,0.9329,1.3,0.718,0.40037443357760016,0.6400606962829364
ets,1000,1.22,3.0,0.407,0.40037443357760016,0.6400606962829364
ets,2000,1.7323,3.3,0.525,0.40037443357760016,0.6400606962829364
ets,5000,2.8238,7.7,0.367,0.40037443357760016,0.6400606962829364
stl,240,0.0729,0.7,0.104,0.8877100280057543,0.47996694962813413
stl,480,0.108,1.0,0.108,0.8877100280057543,0.47996694962813413
stl,960,0.2326,1.0,0.233,0.8877100280057543,0.47996694962813413
stl,2400,0.6059,1.7,0.356,0.8877100280057543,0.47996694962813413
stl,4800,0.8888,3.3,0.269,0.8877100280057543,0.47996694962813413
