K,n,cpu_ms,gpu_fp32_ms,gpu_fp64_ms,speedup_fp32_vs_cpu,speedup_fp64_vs_cpu,fp32_ar_rel,fp64_ar_rel
10,1000,11.5,405.1,182.5,0.03,0.06,9.12e-03,9.12e-03
50,1000,49.1,200.5,191.4,0.24,0.26,1.79e-02,1.79e-02
100,1000,97.5,197.4,194.6,0.49,0.5,1.79e-02,1.79e-02
500,1000,485.4,213.4,200.4,2.27,2.42,2.18e-02,2.18e-02
1000,1000,974.5,224.4,203.5,4.34,4.79,2.64e-02,2.64e-02
2000,1000,1955.0,239.2,317.0,8.17,6.17,2.64e-02,2.64e-02
